CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,AVG_MARK,CHANGE_PREVIOUS_YEAR,RANK,YEAR_OF_RESULT
PS0101-001,BANGATA PR. SCHOOL,ARUSHA,ARUSHA,BANGATA,GOVERNMENT,36.74399954,-3.338421019,51.52,99.29,13.05,9426,2014
PS0101-003,BWAWANI PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.84478314,-3.607894651,26.83,85.78,8.42,13056,2014
PS0101-005,EKENYWA PR. SCHOOL,ARUSHA,ARUSHA,OLTURUMET,GOVERNMENT,36.62022865,-3.295716087,65.31,108.33,7.18,6842,2014
PS0101-006,EMAOI PR. SCHOOL,ARUSHA,ARUSHA,OLMOTONYI,GOVERNMENT,36.64896928,-3.308792324,100,135.09,25.83,2296,2014
PS0101-007,ENDONYOESOIYE PR. SCHOOL,ARUSHA,ARUSHA,,,36.65713014,-3.334140237,43.84,96.1,11.51,10363,2014
PS0101-008,ENGALAONI PR. SCHOOL,ARUSHA,ARUSHA,MWANDETI,GOVERNMENT,36.565748,-3.257083,88.1,120.17,30.46,4220,2014
PS0101-009,ENGORIKA PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.64342636,-3.240631356,42.86,100.1,5.98,9195,2014
PS0101-010,ENGUTUKOITI PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,4.76,70.1,-25.99,15425,2014
PS0101-011,ENYUATA PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.671719,-3.352888,86.55,131.43,11.22,2666,2014
PS0101-012,GREEN ACRES PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,NON GOVERNMENT,36.7082432,-3.362438003,100,200.03,8.15,84,2014
PS0101-013,ILBORU PR. SCHOOL,ARUSHA,ARUSHA,MOIVO,GOVERNMENT,36.68565607,-3.347568556,93.94,131.69,6.17,2641,2014
PS0101-014,ILKERINI PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.52633707,-3.357002901,88.89,121.68,3.23,3986,2014
PS0101-015,ILKIDING'A PR. SCHOOL,ARUSHA,ARUSHA,ILKIDING'A,GOVERNMENT,36.68514885,-3.318278976,56.6,104.87,-6.81,7795,2014
PS0101-016,ILKISONGO PR. SCHOOL,ARUSHA,ARUSHA,ILKIDING'A,GOVERNMENT,36.729842,-3.267493,35.56,89.27,9.25,12183,2014
PS0101-017,ILKIUREI PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.67412596,-3.354763761,66.24,110.07,6.27,6442,2014
PS0101-018,ILKUROTI PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.62665413,-3.213311536,68.42,107.6,17.87,7038,2014
PS0101-019,IMBIBIA PR. SCHOOL,ARUSHA,ARUSHA,MWANDETI,GOVERNMENT,36.5651309,-3.26723653,56.96,99.87,20.18,9260,2014
PS0101-020,JK NYERERE PR. SCHOOL,ARUSHA,ARUSHA,OLORIENI,GOVERNMENT,36.65149781,-3.34250629,79.1,118.61,14.36,4547,2014
PS0101-022,KAMBI YA MAZIWA PR. SCHOOL,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,86.67,122.29,-0.13,3875,2014
PS0101-023,KIGONGONI PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.77969169,-3.536971065,100,140.12,52.26,1824,2014
PS0101-024,KILIMANJARO PR. SCHOOL,ARUSHA,ARUSHA,OLORIEN,NON GOVERNMENT,36.68660817,-3.343437093,100,194.59,21.03,120,2014
PS0101-025,KIMNYAKI PR. SCHOOL,ARUSHA,ARUSHA,KIMNYAK,GOVERNMENT,36.66012393,-3.311792792,53.17,100.89,15.46,8967,2014
PS0101-026,KIOGA PR. SCHOOL,ARUSHA,ARUSHA,ILKIDING'A,GOVERNMENT,36.69500039,-3.317135957,60.27,107.78,16.78,6988,2014
PS0101-027,KIRANYI PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.671719,-3.352888,98.04,134.88,23.13,2316,2014
PS0101-028,KISERIAN PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.74017041,-3.449549452,47.54,100.3,-1.66,9128,2014
PS0101-029,KISONGO PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.69511761,-3.317009675,89.86,123.93,23.65,3623,2014
PS0101-030,LAMOLOKI PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.8328811,-3.58017525,40,94.42,17.04,10831,2014
PS0101-031,LAROI PR. SCHOOL,ARUSHA,ARUSHA,MATEVES,GOVERNMENT,36.62695406,-3.495517414,94.12,132.31,27.29,2580,2014
PS0101-032,LEMANYATA PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.61912574,-3.267709987,75,111.64,5.77,6033,2014
PS0101-033,LEMINYOR PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,47.46,103.75,8.04,8127,2014
PS0101-034,LEMUGUR PR. SCHOOL,ARUSHA,ARUSHA,MATEVES,GOVERNMENT,36.56140491,-3.431959762,73.68,117.51,24.45,4781,2014
PS0101-035,LENGIJAVE PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.59862773,-5.030085894,37.21,92.09,-3.6,11459,2014
PS0101-036,LESIRAA PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.50537781,-3.397378302,93.88,136.18,14.24,2174,2014
PS0101-037,LIKAMBA PR. SCHOOL,ARUSHA,ARUSHA,MUSA,GOVERNMENT,36.57237282,-3.314554656,50,102.69,26.29,8439,2014
PS0101-038,LOOVILUKUNY PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,GOVERNMENT,36.54446596,-3.411606322,64,107,12.13,7198,2014
PS0101-039,LORUVANI PR. SCHOOL,ARUSHA,ARUSHA,OLTUROTO,GOVERNMENT,36.68660817,-3.343437093,44.31,98.07,-5.28,9786,2014
PS0101-040,LOSIKITO PR. SCHOOL,ARUSHA,ARUSHA,MWANDETI,GOVERNMENT,36.5779942,-3.299581936,79.66,121.07,43.63,4071,2014
PS0101-041,LOSINONI PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,24.29,90.79,5.73,11795,2014
PS0101-043,MAJIMOTO PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.8527009,-3.499154842,69.23,118.77,41.18,4515,2014
PS0101-044,MANYIRE PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.80627208,-3.454369582,64.71,106.47,14.8,7354,2014
PS0101-045,MARURANI PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.813139,-3.493588,47.17,98.77,-6.77,9565,2014
PS0101-047,MATIM PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.61891245,-3.266624775,84.21,126.6,21.99,3230,2014
PS0101-048,MBUYUNI PR. SCHOOL,ARUSHA,ARUSHA,OLJORO,GOVERNMENT,36.65584366,-3.565600437,68.57,109.26,17.48,6625,2014
PS0101-049,MIDAWE PR. SCHOOL,ARUSHA,ARUSHA,BANGATA,GOVERNMENT,36.74861731,-3.332989554,83.58,128.69,10.25,2961,2014
PS0101-050,MIRONGOINE PR. SCHOOL,ARUSHA,ARUSHA,OLJORO,GOVERNMENT,36.60603957,-3.405534203,96.77,128.39,3.47,2987,2014
PS0101-051,MLANGARINI PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.78700034,-3.447273332,27.08,83.42,-3.55,13583,2014
PS0101-052,MOIVO PR. SCHOOL,ARUSHA,ARUSHA,MOIVO,GOVERNMENT,36.70392709,-3.350251292,75,112.74,2.72,5794,2014
PS0101-054,MRINGA PR. SCHOOL,ARUSHA,ARUSHA,OLORIENI,GOVERNMENT,36.63981737,-3.333610588,98.88,140.84,32.16,1764,2014
PS0101-055,MUNGUSHI PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.83414089,-3.529985356,29.41,87.65,-7.04,12600,2014
PS0101-057,MUSA PR. SCHOOL,ARUSHA,ARUSHA,MUSA,GOVERNMENT,36.52186485,-3.325672976,26.83,85.24,-7.86,13196,2014
PS0101-058,MUUNGANO PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.73523441,-3.482433927,45.65,98.39,4.79,9678,2014
PS0101-059,MWANDETI PR. SCHOOL,ARUSHA,ARUSHA,MWANDETI,GOVERNMENT,36.60042962,-3.274742911,86.3,132.99,63.72,2502,2014
PS0101-060,MZIMUNI PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.80590294,-3.505067,76.36,111.24,18.62,6133,2014
PS0101-061,NAMBERE PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,GOVERNMENT,36.72281068,-3.356569207,97.65,158.68,37.01,800,2014
PS0101-062,NATEMA PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.6726563,-3.329539931,98.25,139.6,42.98,1866,2014
PS0101-063,NAUREI PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,GOVERNMENT,36.71556686,-3.357808777,96.67,150.03,36.26,1171,2014
PS0101-064,NDURUMA PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.79310841,-3.474652475,83.67,119.39,22.11,4393,2014
PS0101-065,NENGUNGU PR. SCHOOL,ARUSHA,ARUSHA,MUSA,GOVERNMENT,36.68660817,-3.343437093,90,133.33,20.75,2461,2014
PS0101-066,NGARAMTONI PR. SCHOOL,ARUSHA,ARUSHA,OLTURUMET,GOVERNMENT,36.63734556,-3.310238002,86.9,122.39,-0.02,3855,2014
PS0101-067,NG'IRESI PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,GOVERNMENT,36.73362175,-3.333470293,87.85,120.45,13.29,4164,2014
PS0101-068,NURU PR. SCHOOL,ARUSHA,ARUSHA,MOIVO,NON GOVERNMENT,36.67785061,-3.350587322,100,139.81,-11.19,1847,2014
PS0101-071,OLBAK PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.625858,-3.228677,39.51,96.43,7.88,10271,2014
PS0101-072,OLCHOKI PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,GOVERNMENT,36.67141831,-3.339634156,56.1,103.65,1.5,8149,2014
PS0101-073,OLCHOROVUS PR. SCHOOL,ARUSHA,ARUSHA,MUSA,GOVERNMENT,36.52781272,-3.298987965,33.33,95.12,-7.04,10647,2014
PS0101-074,OLDADAI PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,GOVERNMENT,36.728722,-3.346635,65.84,109.7,-0.21,6516,2014
PS0101-075,OLDENDERETI PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.77842571,-3.505499178,100,140.04,3.99,1829,2014
PS0101-076,OLDONYOSAMBU PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,70.59,113.32,10.65,5681,2014
PS0101-077,OLDONYOSAPUK PR. SCHOOL,ARUSHA,ARUSHA,,,36.71018299,-3.332783058,98.73,160.06,66.59,744,2014
PS0101-078,OLDONYOWAS PR. SCHOOL,ARUSHA,ARUSHA,O/SAMBU,GOVERNMENT,36.68660817,-3.343437093,59.3,105.19,2.22,7699,2014
PS0101-079,OLGILAI PR. SCHOOL,ARUSHA,ARUSHA,OLTUROTO,GOVERNMENT,36.72252992,-3.341824545,100,151.46,45.51,1101,2014
PS0101-080,OLJORO PR. SCHOOL,ARUSHA,ARUSHA,OLJORO,GOVERNMENT,36.68790039,-3.590043545,83.33,123.3,43.97,3711,2014
PS0101-082,OLKOKOLA PR. SCHOOL,ARUSHA,ARUSHA,OLKOKOLA,GOVERNMENT,36.625858,-3.228677,28.33,85.83,-6.99,13041,2014
PS0101-083,OLMOTONYI PR. SCHOOL,ARUSHA,ARUSHA,OLMOTONYI,GOVERNMENT,36.65706025,-3.291175584,75.38,116.71,4.56,4952,2014
PS0101-084,OLMRINGIRINGA PR. SCHOOL,ARUSHA,ARUSHA,KIMNYAK,GOVERNMENT,36.67479138,-3.316555145,77.95,116.06,25.91,5091,2014
PS0101-085,OLORIEN VALLEY PR. SCHOOL,ARUSHA,ARUSHA,OLORIEN,NON GOVERNMENT,36.68660817,-3.343437093,100,158.91,-15.03,788,2014
PS0101-086,OLOKII PR. SCHOOL,ARUSHA,ARUSHA,BWAWANI,GOVERNMENT,36.81145294,-3.589697902,42.11,101.58,3.61,8761,2014
PS0101-087,OLOSIVA PR. SCHOOL,ARUSHA,ARUSHA,OLORIENI,GOVERNMENT,36.64554,-3.339556,92.38,127.02,9.03,3173,2014
PS0101-088,OLTUROTO PR. SCHOOL,ARUSHA,ARUSHA,OLTUROTO,GOVERNMENT,36.68660817,-3.343437093,88.3,124.19,13.74,3577,2014
PS0101-089,OLTURUMET PR. SCHOOL,ARUSHA,ARUSHA,OLTURUMET,GOVERNMENT,36.60894972,-3.314833843,80.88,111.07,20.54,6189,2014
PS0101-090,SAMBASHA PR. SCHOOL,ARUSHA,ARUSHA,SAMBASHA,GOVERNMENT,36.66969344,-3.296502471,64.15,109.04,20.35,6665,2014
PS0101-091,SASI PR. SCHOOL,ARUSHA,ARUSHA,BANGATA,GOVERNMENT,36.74510779,-3.365109643,94.64,130.82,23.24,2716,2014
PS0101-092,SEKEI PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,GOVERNMENT,36.71634206,-3.35710549,95,135.49,18.26,2258,2014
PS0101-093,SELIANI PR. SCHOOL,ARUSHA,ARUSHA,KIMNYAK,GOVERNMENT,36.68660817,-3.343437093,49.48,99.09,10.3,9479,2014
PS0101-095,SITI MWINYI PR. SCHOOL,ARUSHA,ARUSHA,OLJORO,GOVERNMENT,36.660859,-3.573593,100,177.69,13.69,359,2014
PS0101-096,SOS HERMANN PR. SCHOOL,ARUSHA,ARUSHA,OLTURUMET,NON GOVERNMENT,36.68660817,-3.343437093,96.88,141.5,4.1,1708,2014
PS0101-098,ST MAGRET PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,NON GOVERNMENT,36.524137,-3.379835,100,184.62,-41.24,235,2014
PS0101-101,THEMI YA SIMBA PR. SCHOOL,ARUSHA,ARUSHA,,,36.78779507,-3.587208938,44.44,95.61,26.11,10496,2014
PS0101-102,TIMBOLO PR. SCHOOL,ARUSHA,ARUSHA,SAMBASHA,GOVERNMENT,36.66960032,-3.297867221,87.65,118.22,33.37,4623,2014
PS0101-103,TRUST ST PATRICK PR. SCHOOL,ARUSHA,ARUSHA,OLORIEN,NON GOVERNMENT,36.68660817,-3.343437093,100,181.72,-1.28,285,2014
PS0101-104,UMOJA PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.85399564,-3.515313424,72.73,119.87,40.29,4291,2014
PS0101-106,MARGRETH ENGLANDS BURKS PR. SCHOOL,ARUSHA,ARUSHA,OLTURUMET,NON GOVERNMENT,36.68660817,-3.343437093,94.12,170.47,16.34,505,2014
PS0101-107,NEW LIFE PR. SCHOOL,ARUSHA,ARUSHA,OLORIEN,NON GOVERNMENT,36.68660817,-3.343437093,100,173.53,26.65,438,2014
PS0101-108,OLOMITU PR. SCHOOL,ARUSHA,ARUSHA,MLANGARINI,GOVERNMENT,36.75784252,-3.41310573,67.69,109.2,7.92,6632,2014
PS0101-109,YAKINI PR. SCHOOL,ARUSHA,ARUSHA,KISONGO,NON GOVERNMENT,36.524137,-3.379835,100,196.94,6.16,98,2014
PS0101-112,SOTWA WILSON PR. SCHOOL,ARUSHA,ARUSHA,,,36.69213868,-3.348659618,100,120.75,3.32,4118,2014
PS0101-113,WILKABAA PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,NON GOVERNMENT,36.71915044,-3.360140416,100,147.9,-12.58,1277,2014
PS0101-114,ALBEHIJE PR. SCHOOL,ARUSHA,ARUSHA,KIRANYI,NON GOVERNMENT,36.671719,-3.352888,100,190.11,54.25,151,2014
PS0101-115,NEW VISION PR. SCHOOL,ARUSHA,ARUSHA,OLTURUMET,NON GOVERNMENT,36.68660817,-3.343437093,100,163.33,1.51,665,2014
PS0101-116,ASSALAF ISLAMIC PR. SCHOOL,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,100,162.83,0.94,673,2014
PS0101-117,ENJORO PR. SCHOOL,ARUSHA,ARUSHA,MATEVES,GOVERNMENT,36.59820858,-3.454650875,31.25,90.94,-5.23,11754,2014
PS0101-118,LIKAMBA INTEGRITY PR. SCHOOL,ARUSHA,ARUSHA,MUSA,NON GOVERNMENT,36.68660817,-3.343437093,93.55,116.9,-22.5,4894,2014
PS0101-119,MSHIKAMANO PR. SCHOOL,ARUSHA,ARUSHA,NDURUMA,GOVERNMENT,36.81322025,-3.480512401,91.38,136.6,49.55,2127,2014
PS0101-120,ST PAULO PR. SCHOOL,ARUSHA,ARUSHA,SOKON II,NON GOVERNMENT,36.728722,-3.346635,100,135.63,-18.25,2237,2014
PS0101-121,GOODWILL PR. SCHOOL,ARUSHA,ARUSHA,MOIVO,NON GOVERNMENT,36.692117,-3.35192,100,142.06,7.2,1664,2014
PS0101-122,ARUSHA HILL SIDE,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,28.57,93.57,0,11085,2014
PS0101-123,EBENEZER,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,100,159.29,0,774,2014
PS0101-124,EUNOTO,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,72.41,118.93,0,4490,2014
PS0101-125,ILKONERE,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,68.75,107.9,0,6953,2014
PS0101-126,MAASAI JOY,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,100,133.82,0,2421,2014
PS0101-127,SONGAMBELE,ARUSHA,ARUSHA,,,36.68660817,-3.343437093,100,148.17,0,1257,2014
PS0102-001,ARUSHA PR. SCHOOL,ARUSHA,ARUSHA(M),THEMI,GOVERNMENT,36.705672,-3.39374,99.05,150.1,2.23,1163,2014
PS0102-002,BARAA PR. SCHOOL,ARUSHA,ARUSHA(M),BARAA,GOVERNMENT,36.7383232,-3.389402299,97.37,160.04,42.2,746,2014
PS0102-003,BURKA PR. SCHOOL,ARUSHA,ARUSHA(M),ELERAI,GOVERNMENT,36.66069119,-3.364765402,99.24,147.43,-4.52,1313,2014
PS0102-004,ENGOSENGIU PR. SCHOOL,ARUSHA,ARUSHA(M),SOKON I,GOVERNMENT,36.68732732,-3.416653358,67.06,111.67,-17.63,6027,2014
PS0102-005,KALOLENI PR. SCHOOL,ARUSHA,ARUSHA(M),KALOLENI,GOVERNMENT,36.69034045,-3.367503039,96.77,142.91,9.62,1614,2014
PS0102-006,KIMANDOLU PR. SCHOOL,ARUSHA,ARUSHA(M),KIMANDOLU,GOVERNMENT,36.71670983,-3.373007391,81.72,125.91,2.82,3333,2014
PS0102-007,KIJENGE PR. SCHOOL,ARUSHA,ARUSHA(M),SEKEI,GOVERNMENT,36.70545553,-3.377473565,90.24,135.65,-3.34,2234,2014
PS0102-008,LEMARA PR. SCHOOL,ARUSHA,ARUSHA(M),LEMARA,GOVERNMENT,36.69601578,-3.40196676,88.73,128.52,13.01,2975,2014
PS0102-009,LEVOLOSI PR. SCHOOL,ARUSHA,ARUSHA(M),LEVOLOSI,GOVERNMENT,36.68093467,-3.366305468,79.84,125.32,0.35,3409,2014
PS0102-010,MERU PR. SCHOOL,ARUSHA,ARUSHA(M),KALOLENI,GOVERNMENT,36.71343908,-3.44394395,87.93,137.82,-4.15,2025,2014
PS0102-011,MKONOO PR. SCHOOL,ARUSHA,ARUSHA(M),TERRAT,GOVERNMENT,36.680992,-3.491933,57.02,104.69,-12.84,7862,2014
PS0102-012,NADOSOITO PR. SCHOOL,ARUSHA,ARUSHA(M),TERRAT,GOVERNMENT,36.680218,-3.495651,38.14,92.88,-30.65,11240,2014
PS0102-013,NAURA PR. SCHOOL,ARUSHA,ARUSHA(M),SEKEI,GOVERNMENT,36.700123,-3.368775,96.72,148.9,6.72,1225,2014
PS0102-014,NGARENARO PR. SCHOOL,ARUSHA,ARUSHA(M),,,36.67805925,-3.376459075,85.26,127.03,0,3171,2014
PS0102-015,NJIRO-HILL PR. SCHOOL,ARUSHA,ARUSHA(M),ENGUTOTO,GOVERNMENT,36.712693,-3.437182,97.83,148.22,9.02,1254,2014
PS0102-016,OLOIRIEN PR. SCHOOL,ARUSHA,ARUSHA(M),OLOIRIEN,GOVERNMENT,36.71225601,-3.381232134,84.09,125.13,4.59,3434,2014
PS0102-017,SANAWARI PR. SCHOOL,ARUSHA,ARUSHA(M),SEKEI,GOVERNMENT,36.69443288,-3.359946558,76.51,124.26,-1.29,3563,2014
PS0102-018,SINON PR. SCHOOL,ARUSHA,ARUSHA(M),SOKON I,GOVERNMENT,36.67371797,-3.433151718,85.34,130.02,3.71,2806,2014
PS0102-019,SOMBETINI PR. SCHOOL,ARUSHA,ARUSHA(M),SOMBETINI,GOVERNMENT,36.66710668,-3.390190864,74.65,119.02,-7.56,4475,2014
PS0102-020,THEMI PR. SCHOOL,ARUSHA,ARUSHA(M),THEMI,GOVERNMENT,36.693412,-3.38094329,100,148.05,6.66,1266,2014
PS0102-021,UHURU PR. SCHOOL,ARUSHA,ARUSHA(M),KATI,GOVERNMENT,36.688256,-3.374163,99.47,158.8,-8.35,794,2014
PS0102-022,DARAJA- II PR. SCHOOL,ARUSHA,ARUSHA(M),,,36.67371797,-3.433151718,75.26,118.58,0,4554,2014
PS0102-023,UNGA-LIMITED PR. SCHOOL,ARUSHA,ARUSHA(M),,,36.67371797,-3.433151718,78.54,123.97,-6.46,3618,2014
PS0102-024,JAFFERY PR. SCHOOL,ARUSHA,ARUSHA(M),,,36.67371797,-3.433151718,100,152.36,-2.52,1052,2014
PS0102-026,MAROMBOSO-BAPTIST PR. SCHOOL,ARUSHA,ARUSHA(M),,,36.67371797,-3.433151718,95.56,142.51,-0.84,1643,2014
PS0102-028,ARUSHA MODERN PR. SCHOOL,ARUSHA,ARUSHA(M),ELERAI,NON GOVERNMENT,36.662811,-3.367749,100,165.54,-10.59,610,2014
PS0102-029,ARUSHA INTERGRATED PR. SCHOOL,ARUSHA,ARUSHA(M),ELERAI,NON GOVERNMENT,36.65806863,-3.363141023,100,141.63,-9.69,1698,2014
PS0102-030,SUYE PR. SCHOOL,ARUSHA,ARUSHA(M),BARAA,GOVERNMENT,36.72195684,-3.37950131,94.48,131.82,5.21,2629,2014
PS0102-031,PARENTS PR. SCHOOL,ARUSHA,ARUSHA(M),SOKON I,NON GOVERNMENT,36.67916416,-3.407250517,100,169.04,15.11,539,2014
PS0102-032,OSUNYAI PR. SCHOOL,ARUSHA,ARUSHA(M),SOMBETINI,GOVERNMENT,36.66712486,-3.390109552,84.47,125.71,9.32,3366,2014
PS0102-033,IMANI PR. SCHOOL,ARUSHA,ARUSHA(M),SOMBETINI,NON GOVERNMENT,36.6688353,-3.385765685,100,191.87,-17.57,138,2014
PS0102-034,KILIMANI PR. SCHOOL,ARUSHA,ARUSHA(M),SEKEI,NON GOVERNMENT,36.70204607,-3.362278739,97.22,146.11,-16.74,1403,2014
PS0102-035,SWIFTS PR. SCHOOL,ARUSHA,ARUSHA(M),NGARENARO,NON GOVERNMENT,36.675485,-3.368718,100,139.58,0,1868,2014
PS0102-036,PRIME PR. SCHOOL,ARUSHA,ARUSHA(M),SEKEI,NON GOVERNMENT,36.700123,-3.368775,100,149,-17.1,1220,2014
PS0102-037,ENGARENAROK LUTH TETRA PR. SCH,ARUSHA,ARUSHA(M),NGARENARO,NON GOVERNMENT,36.675485,-3.368718,100,158.31,-0.13,814,2014
PS0102-038,ENGIRA PR. SCHOOL,ARUSHA,ARUSHA(M),THEMI,GOVERNMENT,36.69761622,-3.394675565,100,132.71,11.76,2534,2014
PS0102-039,GREEN VALLEY PR. SCHOOL,ARUSHA,ARUSHA(M),SOMBETINI,NON GOVERNMENT,36.66378571,-3.402187247,100,188.44,9.05,172,2014
PS0102-040,LISE PR. SCHOOL,ARUSHA,ARUSHA(M),NGARENARO,NON GOVERNMENT,36.67409127,-3.365620175,100,149.75,19.75,1183,2014
PS0102-041,MWANGAZA PR. SCHOOL,ARUSHA,ARUSHA(M),NGARENARO,GOVERNMENT,36.67818316,-3.377309092,91.39,133.73,3.1,2426,2014
PS0102-042,SOKONI I PR. SCHOOL,ARUSHA,ARUSHA(M),SOKON I,GOVERNMENT,36.66772555,-3.402178739,85.23,126.51,0,3240,2014
PS0102-043,SHALOM PR. SCHOOL,ARUSHA,ARUSHA(M),LEMARA,NON GOVERNMENT,36.698958,-3.417685,100,175.69,-9.45,397,2014
PS0102-044,BETHEL PR. SCHOOL,ARUSHA,ARUSHA(M),KIMANDOLU,NON GOVERNMENT,36.718853,-3.375096,95.65,148.83,-5.65,1229,2014
PS0102-045,ASSUMPTION PR. SCHOOL,ARUSHA,ARUSHA(M),OLOIRIEN,NON GOVERNMENT,36.70735834,-3.383073683,100,177.58,8.71,361,2014
PS0102-046,HADY PR. SCHOOL,ARUSHA,ARUSHA(M),SOMBETINI,NON GOVERNMENT,36.662892,-3.390431,100,186.24,-10.33,207,2014
PS0102-047,ANGELICO PR. SCHOOL,ARUSHA,ARUSHA(M),,,36.67371797,-3.433151718,87.76,139.24,-12.92,1902,2014
PS0102-048,ELERAI PR. SCHOOL,ARUSHA,ARUSHA(M),ELERAI,GOVERNMENT,36.65827125,-3.37245214,98.03,145.98,8.18,1413,2014
PS0102-049,HIGH VIEW PR. SCHOOL,ARUSHA,ARUSHA(M),SOMBETINI,NON GOVERNMENT,36.662892,-3.390431,100,183.55,-4.86,247,2014
PS0102-050,LOAMO PR. SCHOOL,ARUSHA,ARUSHA(M),OLOIRIEN,NON GOVERNMENT,36.67371797,-3.433151718,100,181.97,4.74,279,2014
PS0102-051,MAKUMBUSHO PR. SCHOOL,ARUSHA,ARUSHA(M),KALOLENI,GOVERNMENT,36.69039582,-3.366906554,86.84,126.08,-10.69,3308,2014
PS0102-052,MOIVOI PR. SCHOOL,ARUSHA,ARUSHA(M),OLASITI,GOVERNMENT,36.71102098,-3.390042995,93.42,131.61,-6.88,2647,2014
PS0102-053,MOUNT MERU PR. SCHOOL,ARUSHA,ARUSHA(M),ENGUTOTO,NON GOVERNMENT,36.713439,-3.443944,100,178.82,0.38,344,2014
PS0102-054,UKOMBOZI PR. SCHOOL,ARUSHA,ARUSHA(M),SOKON I,GOVERNMENT,36.68242008,-3.392315937,89.73,129.63,11.47,2857,2014
PS0102-055,UNITY PR. SCHOOL,ARUSHA,ARUSHA(M),NGARENARO,NON GOVERNMENT,36.675485,-3.368718,86.44,132.61,-3.53,2545,2014
PS0102-056,SALEI PR. SCHOOL,ARUSHA,ARUSHA(M),UNGA LTD,GOVERNMENT,36.679798,-3.380318,92.39,140.22,18.5,1811,2014
PS0102-057,ARUSHA MERU PR. SCHOOL,ARUSHA,ARUSHA(M),LEVOLOSI,NON GOVERNMENT,36.681684,-3.369896,88.89,122.11,-30.09,3914,2014
PS0102-058,ENALEPO PR. SCHOOL,ARUSHA,ARUSHA(M),DARAJA II,NON GOVERNMENT,36.67371797,-3.433151718,100,159.06,-12.86,781,2014
PS0102-059,HIGHRIDGE PR. SCHOOL,ARUSHA,ARUSHA(M),THEMI,NON GOVERNMENT,36.70661343,-3.393820178,98.63,157.81,3.74,831,2014
