CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,CHANGE_PREVIOUS_YEAR_PASS_RATE,AVG_GPA,CHANGE_PREVIOUS_YEAR_GPA,RANK,YEAR_OF_RESULT,MORE_THAN_40,NATIONAL_RANK_ALL,REGIONAL_RANK_ALL,DISTRICT_RANK_ALL,PUPIL_TEACHER_RATIO
S0106,DUNG'UNYI SEMINARY,SINGIDA,SINGIDA,,NON GOVERNMENT,34.98077066,-4.715752648,100,,3.6814,1.3375,22,2014,NO,,,,
S0113,MAFINGA SEMINARY,IRINGA,MUFINDI,SAO HILL,NON GOVERNMENT,35.27117606,-8.508382058,100,,4.0754,1.7727,4,2014,NO,,,,
S0117,KASITA SEMINARY,MOROGORO,ULANGA,,NON GOVERNMENT,36.6124973,-9.050462149,100,,3.8172,1.5221,18,2014,NO,,,,
S0118,KATOKE SEMINARY,KAGERA,BIHARAMULO,NYARUBUNGO,NON GOVERNMENT,31.442897,-2.517814,100,,4.1498,1.3033,3,2014,NO,,,,
S0124,LIKONDE SEMINARY,RUVUMA,MBINGA,,NON GOVERNMENT,34.9879625,-10.77202926,100,,3.2946,0.9431,39,2014,NO,,,,
S0130,MAUA SEMINARY,KILIMANJARO,MOSHI,KILEMA KASK.,NON GOVERNMENT,37.41952728,-3.366394703,100,,3.9476,1.768,10,2014,NO,,,,
S0141,NAMUPA SEMINARY,LINDI,LINDI RURAL,,NON GOVERNMENT,39.23245888,-10.27409125,100,,3.5324,1.0142,28,2014,NO,,,,
S0148,RUBYA SEMINARY,KAGERA,MULEBA,KASHASHA,NON GOVERNMENT,31.599888,-1.77941,100,,4.0676,1.8335,5,2014,NO,,,,
S0154,ST. PETER'S SEMINARY,MOROGORO,MOROGORO URBAN,,NON GOVERNMENT,37.66264787,-6.77664642,100,,3.3333,0.2037,37,2014,NO,,,,
S0169,BIHAWANA JUNIOR SEMINARY,DODOMA,DODOMA URBAN,MBABALA,NON GOVERNMENT,35.6302,-6.295982,100,,3.7407,1.151,21,2014,NO,,,,
S0171,ARUSHA CATHOLIC SEMINARY,ARUSHA,ARUSHA,O'SAMBU,NON GOVERNMENT,36.68660817,-3.343437093,100,,3.625,1.2935,24,2014,NO,,,,
S0176,LUSANGI MORAVIAN JUNIOR SEMINARY,TABORA,SIKONGE,,,33.09498291,-6.037176351,83.33,,1.6185,-3.1862,387,2014,NO,,,,
S0177,ST. MARY'S JUNIOR SEMINARY,PWANI,KIBAHA,,NON GOVERNMENT,38.55091591,-6.817426621,100,,3.8426,1.7384,17,2014,NO,,,,
S0179,ST. MARY'S SEMINARY MBALIZI,MBEYA,MBEYA RURAL,,NON GOVERNMENT,33.40427593,-8.92847122,100,,3.3993,0.711,34,2014,NO,,,,
S0180,ST. FRANCIS DE SALES SEMINARY,MOROGORO,MOROGORO URBAN,,NON GOVERNMENT,37.66264787,-6.77664642,100,,3.5222,0.9008,30,2014,NO,,,,
S0182,AL-FAROUQ SEMINARY,DAR ES SALAAM,ILALA,TABATA,NON GOVERNMENT,39.22394666,-6.832261744,76.92,,1.3996,-3.3035,734,2014,NO,,,,
S0183,STELLA MATUTINA LIGHANO SEMINARY,RUVUMA,NAMTUMBO,,NON GOVERNMENT,36.31666162,-10.63520727,100,,3.528,0.3491,29,2014,NO,,,,
S0186,RONDO JUNIOR SEMINARY,LINDI,LINDI RURAL,,NON GOVERNMENT,39.46591242,-10.03079884,100,,2.4563,-0.6074,88,2014,NO,,,,
S0187,AN-NOOR ISLAMIC BOYS SEMINARY,TANGA,TANGA,,NON GOVERNMENT,39.0154151,-5.11176189,91.67,,2.0056,-2.1822,152,2014,NO,,,,
S0190,ST. JOSEPH-KILOCHA SEMINARY,NJOMBE,NJOMBE,,NON GOVERNMENT,35.18909019,-9.223319014,100,,3.8008,1.7452,19,2014,NO,,,,
S0196,ST. THOMAS MORE KIBOGORA SECONDARY SCHOOL,KIGOMA,KIBONDO,KASANDA,NON GOVERNMENT,30.97862691,-4.15224213,100,,3.4472,0.3822,33,2014,NO,,,,
S0199,MSAMALA MUSLIM SEMINARY,RUVUMA,SONGEA URBAN,,NON GOVERNMENT,35.62258605,-10.65052101,100,,2.9283,-1.5995,54,2014,NO,,,,
S0236,KILIMANJARO ACADEMY SECONDARY SCHOOL,KILIMANJARO,MOSHI MUNICIPAL,SOWETO,NON GOVERNMENT,37.321893,-3.358085,84.62,,1.638,-2.2713,361,2014,NO,,,,
S0238,MRUMA GIRLS SECONDARY SCHOOL,KILIMANJARO,MWANGA,,NON GOVERNMENT,37.65139092,-3.736038367,59.26,,1.2365,-3.7843,1117,2014,NO,,,,
S0242,ST. MARGARET GIRLS SECONDARY SCHOOL,KILIMANJARO,MOSHI,,NON GOVERNMENT,37.5334976,-3.324555982,81.82,,1.7924,-2.7648,237,2014,NO,,,,
S0254,WALI-UL-ASR GIRLS SEMINARY,PWANI,KIBAHA,,NON GOVERNMENT,38.55091591,-6.817426621,88.89,,1.8881,-1.868,193,2014,NO,,,,
S0258,BARAMBA GIRLS SECONDARY SCHOOL,KAGERA,NGARA,RUSUMO,NON GOVERNMENT,30.78481093,-2.53826117,89.47,,2.2466,-1.9604,113,2014,NO,,,,
S0262,AMANI GIRLS SECONDARY SCHOOL,SINGIDA,MANYONI,,NON GOVERNMENT,34.45057031,-6.409024142,100,,3.8772,1.7033,15,2014,NO,,,,
S0265,CORNELIUS GIRLS SECONDARY SCHOOL,DAR ES SALAAM,KINONDONI,KUNDUCHI,NON GOVERNMENT,39.18893152,-6.680107207,81.25,,1.5905,-2.6247,428,2014,NO,,,,
S0273,ST. AGNES KWIRO GIRLS SECONDARY SCHOOL,MOROGORO,ULANGA,,NON GOVERNMENT,36.6124973,-9.050462149,100,,2.7925,-0.256,64,2014,NO,,,,
S0277,SPRING VALLEY SECONDARY SCHOOL,IRINGA,IRINGA URBAN,ILALA / MAKORONGONI,NON GOVERNMENT,35.68362758,-7.766242499,100,,2.9679,-0.1767,51,2014,NO,,,,
S0280,UMMU-SALAMA GIRLS SECONDARY SCHOOL,PWANI,RUFIJI,UTETE,NON GOVERNMENT,38.587419,-7.996069,60.71,,1.4653,-3.8689,619,2014,NO,,,,
S0282,MISSION NJOMBE SECONDARY SCHOOL,NJOMBE,NJOMBE,UWEMBA,NON GOVERNMENT,35.18909019,-9.223319014,100,,1.5864,-2.7758,438,2014,NO,,,,
S0284,RONECA GIRL'S SECONDARY SCHOOL,PWANI,KIBAHA,,,38.55091591,-6.817426621,100,,3.3156,0.1547,38,2014,NO,,,,
S0290,OLMOTONYI LUTHERAN  SECONDARY SCHOOL,ARUSHA,ARUSHA,KIRANYI,NON GOVERNMENT,36.671719,-3.352888,72.73,,1.3579,-3.5206,827,2014,NO,,,,
S0291,GHOMME SECONDARY SCHOOL,DAR ES SALAAM,KINONDONI,KUNDUCHI,NON GOVERNMENT,39.199716,-6.660464,96.43,,1.7059,-2.4527,293,2014,NO,,,,
S0293,ATHENA SECONDARY SCHOOL,PWANI,KIBAHA,VISIGA,NON GOVERNMENT,38.55091591,-6.817426621,87.88,,1.6924,-1.9506,311,2014,NO,,,,
S0303,ARUSHA-MERU SECONDARY SCHOOL,ARUSHA,ARUSHA URBAN,LEVOLOSI,NON GOVERNMENT,36.68407993,-3.375153713,96.55,,1.6939,-3.5912,309,2014,NO,,,,
S0307,DODOMA CENTRAL SECONDARY SCHOOL,DODOMA,,,,35.73947,-6.17221,40,,0.9006,0.9006,1856,2014,NO,,,,
S0321,KINONDONI SECONDARY SCHOOL,DAR ES SALAAM,KINONDONI,,NON GOVERNMENT,39.14091737,-6.726254339,81.82,,1.5262,-3.4801,519,2014,NO,,,,
S0335,MZIZIMA SECONDARY SCHOOL,DAR ES SALAAM,ILALA,UPANGA MAGHARIBI,NON GOVERNMENT,39.27897078,-6.815577022,93.33,,2.4169,-1.6869,96,2014,NO,,,,
S0376,SONI SEMINARY,TANGA,LUSHOTO,,NON GOVERNMENT,38.43966119,-4.547547843,100,,2.96,0.3081,52,2014,NO,,,,
S0384,MIKUNGUNI SECONDARY SCHOOL,UNGUJA,MJINI,,GOVERNMENT,39.20851675,-6.164104702,100,,2.3631,-1.2772,102,2014,NO,,,,
S0395,BOZA SECONDARY SCHOOL,TANGA,PANGANI,KIMANG'A,NON GOVERNMENT,38.98943877,-5.405827292,71.43,,1.2604,-3.4192,1066,2014,NO,,,,
S0401,NAMFUA SECONDARY SCHOOL,KILIMANJARO,ROMBO,,NON GOVERNMENT,37.56500432,-3.023249845,90,,1.7441,-3.1518,269,2014,NO,,,,
S0414,IAMBI SECONDARY SCHOOL,SINGIDA,IRAMBA,ILUNDA,NON GOVERNMENT,34.28625589,-4.433875021,67.74,,1.5082,-3.0765,546,2014,NO,,,,
S0420,CHANJALE SEMINARY,KILIMANJARO,MWANGA,MWANGA,NON GOVERNMENT,37.546159,-3.647381,100,,2.9145,0.4537,55,2014,NO,,,,
S0435,BISHOP MOSHI SECONDARY SCHOOL,KILIMANJARO,MOSHI,MAMBA KUSINI,NON GOVERNMENT,37.53767677,-3.291307182,84.85,,1.3744,-3.6994,785,2014,NO,,,,
S0438,MASJID QUBAH MUSLIM SEMINARY,DAR ES SALAAM,KINONDONI,SINZA,NON GOVERNMENT,39.222797,-6.783738,95.45,,1.8684,-3.0846,200,2014,NO,,,,
S0451,ENDAROFTA SECONDARY SCHOOL,ARUSHA,KARATU,KARATU,NON GOVERNMENT,35.693506,-3.377088,100,,2.1201,-2.3503,135,2014,NO,,,,
S0452,MADUNGA SECONDARY SCHOOL,MANYARA,BABATI,MADUNGA,NON GOVERNMENT,35.495989,-4.145997,100,,3.0327,-0.5855,50,2014,NO,,,,
S0453,DONGOBESH SECONDARY SCHOOL,MANYARA,MBULU,DONGOBESH,NON GOVERNMENT,35.36750702,-4.06867737,69.57,,1.5019,-3.3411,556,2014,NO,,,,
S0466,WARI SECONDARY SCHOOL,KILIMANJARO,HAI,MACHAME KASKAZINI,NON GOVERNMENT,37.22365465,-3.211744302,55.26,,1.0137,-4.3764,1633,2014,NO,,,,
S0475,KIDIA SECONDARY SCHOOL,KILIMANJARO,MOSHI,OLD MOSHI MASH.,NON GOVERNMENT,37.4139058,-3.302195632,72.22,,1.5548,-3.7707,476,2014,NO,,,,
S0477,CHIMALA SECONDARY SCHOOL,MBEYA,MBARALI,CHIMALA,NON GOVERNMENT,34.01916316,-8.85957323,57.14,,1.0994,-3.9999,1436,2014,NO,,,,
S0478,KIPOKE SECONDARY SCHOOL,MBEYA,RUNGWE,KIWIRA,NON GOVERNMENT,33.54473964,-9.183260534,44.83,,0.9363,-3.7572,1798,2014,NO,,,,
S0498,DINDIMO SECONDARY SCHOOL,KILIMANJARO,SAME,BOMBO,NON GOVERNMENT,37.9973805,-4.266958557,55.56,,1.1178,-3.6004,1391,2014,NO,,,,
S0507,ITENGULE SECONDARY SCHOOL,IRINGA,MUFINDI,MALANGALI,GOVERNMENT,34.80533337,-8.562559313,88.89,,1.8659,-2.8793,201,2014,NO,,,,
S0516,MOMBO SECONDARY SCHOOL,TANGA,KOROGWE,,NON GOVERNMENT,38.28864422,-4.881346632,51.52,,1.0849,-4.1066,1473,2014,NO,,,,
S0517,KILI SECONDARY SCHOOL,TABORA,NZEGA,UDUKA,GOVERNMENT,32.905626,-4.191673,88.24,,1.6125,-2.9764,397,2014,NO,,,,
S0520,BUYANGO SECONDARY SCHOOL,KAGERA,MISSENYI,BUYANGO,GOVERNMENT,31.64873775,-1.154134344,83.87,,1.3978,-3.9162,738,2014,NO,,,,
S0521,MATOMBO SECONDARY SCHOOL,MOROGORO,MOROGORO,KONDE,GOVERNMENT,37.751431,-7.053595,80.95,,1.297,-4.0335,979,2014,NO,,,,
S0523,NAMTUMBO SECONDARY SCHOOL,RUVUMA,NAMTUMBO,RWINGA,NON GOVERNMENT,36.00431679,-10.45759179,57.14,,1.1922,-4.0446,1214,2014,NO,,,,
S0535,MAKOGA SECONDARY SCHOOL,NJOMBE,NJOMBE,MAKOGA,GOVERNMENT,35.18909019,-9.223319014,87.88,,1.4358,-3.7654,667,2014,NO,,,,
S0536,KINDOROKO SECONDARY SCHOOL,KILIMANJARO,MWANGA,NGUJINI,NON GOVERNMENT,37.61972172,-3.730491445,100,,3.0652,-0.209,48,2014,NO,,,,
S0541,MARAMBA SECONDARY SCHOOL,TANGA,MKINGA,MARAMBA,GOVERNMENT,38.798053,-4.871505,83.87,,1.6865,-3.734,319,2014,NO,,,,
S0543,MANEROMANGO SECONDARY SCHOOL,PWANI,KISARAWE,MANEROMANGO,GOVERNMENT,38.814179,-7.218201,56.25,,1.1511,-4.4165,1316,2014,NO,,,,
S0545,KIAGATA SECONDARY SCHOOL,MARA ,MUSOMA,NYAMIMANGE,GOVERNMENT,33.58981777,-1.851455961,52.94,,1.1322,-4.0334,1362,2014,NO,,,,
S0551,NACHINGWEA SECONDARY SCHOOL,LINDI,NACHINGWEA,KILIMANIHEWA,GOVERNMENT,38.800205,-10.375694,56.25,,1.1255,-4.3147,1374,2014,NO,,,,
S0552,MAGOTO SECONDARY SCHOOL,MARA ,TARIME,NYAKONGA,GOVERNMENT,34.55348959,-1.357917488,54.29,,1.1376,-4.2209,1352,2014,NO,,,,
S0555,BUNGU SECONDARY SCHOOL,TANGA,KOROGWE,BUNGU,GOVERNMENT,38.40542634,-5.023186087,54.55,,1.0415,-4.1535,1568,2014,NO,,,,
S0559,BWABUKI SECONDARY SCHOOL,KAGERA,MISSENYI,KITOBO,GOVERNMENT,31.67200448,-1.225925338,50,,1.1819,-4.1642,1237,2014,NO,,,,
S0577,NURULYAKINI SECONDARY SCHOOL,DAR ES SALAAM,TEMEKE,TEMEKE,NON GOVERNMENT,39.25640544,-6.85954437,63.64,,1.5634,-3.4175,461,2014,NO,,,,
S0582,UNUNIO ISLAMIC HIGH SCHOOL,DAR ES SALAAM,KINONDONI,,NON GOVERNMENT,39.17173078,-6.63597005,80.95,,1.2116,-3.112,1162,2014,NO,,,,
S0587,CHUNYA SECONDARY SCHOOL,MBEYA,CHUNYA,ITEWE,NON GOVERNMENT,33.42424396,-8.533328953,80.56,,1.6317,-3.2876,368,2014,NO,,,,
S0591,RUANDA SECONDARY SCHOOL,RUVUMA,MBINGA,RUANDA,GOVERNMENT,34.90950161,-10.53701016,56,,1.1747,-4.2394,1251,2014,NO,,,,
S0592,LUNDO DAY SECONDARY SCHOOL,RUVUMA,MBINGA,,GOVERNMENT,34.9879625,-10.77202926,40,,0.8394,-4.7341,1933,2014,NO,,,,
S0597,KIPATIMU SECONDARY SCHOOL,LINDI,KILWA,KIPATIMU,GOVERNMENT,38.909314,-8.528382,67.57,,1.1494,-4.3118,1322,2014,NO,,,,
S0598,MTAMA SECONDARY SCHOOL,LINDI,LINDI RURAL,MTAMA,GOVERNMENT,39.38389894,-10.29192723,60.61,,1.122,-4.5321,1383,2014,NO,,,,
S0599,MNERO SECONDARY SCHOOL,LINDI,NACHINGWEA,MNERO NGONGO,GOVERNMENT,38.36213306,-10.37883443,64,,1.0778,-4.0279,1483,2014,NO,,,,
S0608,NANYAMBA SECONDARY SCHOOL,MTWARA,MTWARA RURAL,NANYAMBA,GOVERNMENT,39.81290954,-10.68343751,43.33,,0.8936,-4.4771,1868,2014,NO,,,,
S0619,MGETA SECONDARY SCHOOL,MOROGORO,MVOMERO,MGETA,GOVERNMENT,37.56982468,-7.037842369,92.31,,1.6211,-3.5134,382,2014,NO,,,,
S0628,KIRONGAYA SECONDARY SCHOOL,KILIMANJARO,MWANGA,CHOMVU,NON GOVERNMENT,37.64931847,-3.704571001,82.35,,1.3133,-3.5344,939,2014,NO,,,,
S0632,BONDENI SECONDARY SCHOOL,ARUSHA,ARUSHA URBAN,KATI,NON GOVERNMENT,36.688256,-3.374163,51.61,,1.1929,-3.9223,1213,2014,NO,,,,
S0636,ZOISSA SECONDARY SCHOOL,DODOMA,KONGWA,MKOKA,GOVERNMENT,36.386264,-5.799209,37.93,,0.9313,-4.2897,1810,2014,NO,,,,
S0644,RURUMA SECONDARY SCHOOL,SINGIDA,,,,34.74358,-4.81629,66.67,,1.0185,1.0185,1617,2014,NO,,,,
S0649,MKWESE SECONDARY SCHOOL,SINGIDA,MANYONI,MKWESE,NON GOVERNMENT,34.80186462,-5.636202312,73.68,,1.321,-3.2656,919,2014,NO,,,,
S0695,DODEANI TECH. SECONDARY SCHOOL,PEMBA,MICHEWENI,,GOVERNMENT,39.77519821,-4.969569852,0,,0.5278,-5.2817,2082,2014,NO,,,,
S0697,KIGWE SECONDARY SCHOOL,DODOMA,BAHI,KIGWE,GOVERNMENT,35.494853,-6.0945342,61.9,,1.278,-3.8622,1024,2014,NO,,,,
S0705,LUPILA SECONDARY SCHOOL,NJOMBE,MAKETE,,NON GOVERNMENT,34.35065281,-9.573066319,86.96,,1.6237,-3.3915,377,2014,NO,,,,
S0711,KITOMONDO SECONDARY SCHOOL,PWANI,MAFIA,KILINDONI,GOVERNMENT,39.640504,-7.908237,67.57,,1.3833,-4.3298,768,2014,NO,,,,
S0720,MPITIMBI SECONDARY SCHOOL,RUVUMA,SONGEA RURAL,MPITIMBI,GOVERNMENT,35.514545,-10.790247,87.1,,1.511,-3.6025,543,2014,NO,,,,
S0721,LEGURUKI SECONDARY SCHOOL,ARUSHA,MERU,LEGURUKI,NON GOVERNMENT,36.95061826,-3.255063114,86.36,,1.6129,-3.5865,395,2014,NO,,,,
S0726,MBEKENYERA SECONDARY SCHOOL,LINDI,RUANGWA,MBEKENYERA,GOVERNMENT,38.95723511,-9.989596841,71.43,,1.5041,-3.8946,554,2014,NO,,,,
S0727,MKWAJUNI SECONDARY SCHOOL,MBEYA,CHUNYA,MKWAJUNI,NON GOVERNMENT,33.01392719,-8.439977816,83.33,,1.5088,-2.9837,545,2014,NO,,,,
S0732,MAHILO SECONDARY SCHOOL,RUVUMA,MBINGA,MBUJI,GOVERNMENT,34.882512,-11.019672,35,,1.1405,-4.3339,1347,2014,NO,,,,
S0733,IGURUSI SECONDARY SCHOOL,MBEYA,MBARALI,IGURUSI,NON GOVERNMENT,33.86042907,-8.843638248,70.83,,1.5853,-3.1343,439,2014,NO,,,,
S0734,MATEKWE SECONDARY SCHOOL,LINDI,NACHINGWEA,MATEKWE,GOVERNMENT,38.10706924,-10.636231,66.67,,0.9215,-4.264,1828,2014,NO,,,,
S0737,KIWANI SECONDARY SCHOOL,PEMBA,MKOANI,,GOVERNMENT,39.70566302,-5.378256891,58.33,,0.9455,-4.0037,1780,2014,NO,,,,
S0742,BULONGWA SECONDARY SCHOOL,NJOMBE,MAKETE,,NON GOVERNMENT,34.05933405,-9.332203753,84,,1.7107,-2.7389,288,2014,NO,,,,
S0746,MNYAMBE SECONDARY SCHOOL,MTWARA,NEWALA,MNYAMBE,GOVERNMENT,39.15914296,-10.66213337,64.71,,1.0853,-4.253,1470,2014,NO,,,,
S0750,OSHARA SECONDARY SCHOOL,KILIMANJARO,SIHA,IVAENY,GOVERNMENT,37.123515,-3.175391,80.56,,1.3307,-4.0159,896,2014,NO,,,,
S0767,MVOMERO SECONDARY SCHOOL,MOROGORO,MVOMERO,MVOMERO,GOVERNMENT,37.46081993,-6.312955108,89.29,,1.6438,-3.8739,353,2014,NO,,,,
S0776,MITOLE SECONDARY SCHOOL,LINDI,KILWA,MITOLE,GOVERNMENT,39.034233,-8.847621,78.57,,1.2611,-4.2881,1065,2014,NO,,,,
S0780,KALOLENI ISLAMIC SEMINARY,KILIMANJARO,MOSHI MUNICIPAL,,NON GOVERNMENT,37.3408698,-3.345619767,81.58,,1.5541,-2.7605,477,2014,NO,,,,
S0783,BEREKO SECONDARY SCHOOL,DODOMA,KONDOA,BEREKO,GOVERNMENT,35.767154,-4.441439,76,,1.5193,-3.4896,530,2014,NO,,,,
S0790,PWANI SECONDARY SCHOOL,PWANI,KIBAHA,MAIL MOJA,NON GOVERNMENT,38.55091591,-6.817426621,33.33,,0.7467,-4.793,2003,2014,NO,,,,
S0792,MANGAKA SECONDARY SCHOOL,MTWARA,NANYUMBU,MANGAKA,GOVERNMENT,38.3772169,-10.92909985,65.52,,1.2239,-4.3964,1143,2014,NO,,,,
S0793,MALINDI SECONDARY SCHOOL,KILIMANJARO,SAME,SUJI,GOVERNMENT,37.8932731,-4.3702735,57.14,,0.9679,-4.3761,1726,2014,NO,,,,
S0803,IYULA SECONDARY SCHOOL,MBEYA,MBOZI,IYULA,NON GOVERNMENT,33.17558,-9.096058,68.75,,1.2614,-3.9076,1064,2014,NO,,,,
S0813,MAHIDA SECONDARY SCHOOL,KILIMANJARO,ROMBO,MAHIDA,GOVERNMENT,37.60717471,-3.29707785,75,,1.4913,-3.699,578,2014,NO,,,,
S0820,MKUZI SECONDARY SCHOOL,TANGA,MUHEZA,MKUZI,GOVERNMENT,38.82005,-5.266525,70.37,,1.355,-3.995,838,2014,NO,,,,
S0828,MUBONDO SECONDARY SCHOOL,KIGOMA,KASULU,RUHITA,GOVERNMENT,30.42269522,-4.502640361,66.67,,1.1786,-4.0221,1241,2014,NO,,,,
S0830,MASIMBWE SECONDARY SCHOOL,NJOMBE,LUDEWA,MLANGALI,NON GOVERNMENT,34.573582,-9.758558,40,,0.981,-3.8503,1700,2014,NO,,,,
S0832,KIPONDA SECONDARY SCHOOL,UNGUJA,MJINI,,GOVERNMENT,39.20851675,-6.164104702,97.37,,2.4095,-0.8054,97,2014,NO,,,,
S0835,KENGEJA TECHNICAL SECONDARY SCHOOL,PEMBA,MKOANI,,GOVERNMENT,39.70566302,-5.378256891,69.7,,1.5436,-2.6025,499,2014,NO,,,,
S0837,SELOUS SECONDARY SCHOOL,RUVUMA,NAMTUMBO,L/SEKAMAGANGA,GOVERNMENT,36.18116662,-10.31601684,58.82,,1.0897,-4.5306,1458,2014,NO,,,,
S0839,NGERENGERE DAY SECONDARY SCHOOL,MOROGORO,MOROGORO,,GOVERNMENT,37.84048211,-7.192176085,78.95,,1.2332,-4.2823,1123,2014,NO,,,,
S0845,KIGONIGONI SECONDARY SCHOOL,KILIMANJARO,MWANGA,KIGONIGONI,GOVERNMENT,37.72585739,-3.689308761,60,,1.1479,-3.8453,1326,2014,NO,,,,
S0852,EMANYATA SECONDARY SCHOOL,ARUSHA,NGORONGORO,OLOLOSOKWAN,NON GOVERNMENT,35.30008162,-1.884250047,76.92,,1.9447,-2.6878,168,2014,NO,,,,
S0854,NYANGAO SECONDARY SCHOOL,LINDI,LINDI RURAL,NYANGAO,NON GOVERNMENT,39.31412881,-10.33121821,66.67,,1.1961,-3.7702,1199,2014,NO,,,,
S0858,NYAMASANDA SECONDARY SCHOOL,MARA ,RORYA,IKOMA,GOVERNMENT,34.311291,-1.181398,43.48,,0.954,-4.2862,1765,2014,NO,,,,
S0859,RANGWI SECONDARY SCHOOL,TANGA,LUSHOTO,RANGWI,GOVERNMENT,38.25235602,-4.576378258,80,,1.3208,-3.9943,921,2014,NO,,,,
S0860,SEUTA SECONDARY SCHOOL,TANGA,KILINDI,SONGE,GOVERNMENT,37.278738,-5.577926,88.24,,1.5671,-3.8712,457,2014,NO,,,,
S0863,MWADUI TECHNICAL SECONDARY SCHOOL,SHINYANGA,KISHAPU,MWADUI LOHUMBO,GOVERNMENT,33.630484,-3.494592,67.65,,1.5445,-3.0757,495,2014,NO,,,,
S0864,NAHIMBA SECONDARY SCHOOL,RUVUMA,NAMTUMBO,MKONGO,GOVERNMENT,35.87932386,-10.7284002,20,,0.6637,-4.5965,2052,2014,NO,,,,
S0871,KABALE SECONDARY SCHOOL,KAGERA,BUKOBA RURAL,KARABAGAINE,GOVERNMENT,31.745165,-1.347065,87.1,,1.4398,-3.6748,661,2014,NO,,,,
S0877,KILIMANGWIDO SECONDARY SCHOOL,TANGA,PANGANI,UBANGAA,GOVERNMENT,38.93576204,-5.448378633,100,,1.5944,-3.8878,417,2014,NO,,,,
S0878,MILENGWELENGWE SECONDARY SCHOOL,MOROGORO,MOROGORO,MNGAZI,GOVERNMENT,37.63277448,-7.436913916,40.91,,0.8967,-4.5186,1863,2014,NO,,,,
S0879,KATURU SECONDARY SCHOOL,MARA ,RORYA,MKOMA,GOVERNMENT,34.0263231,-1.1483729,90,,1.5278,-3.8657,515,2014,NO,,,,
S0884,MAMBWE SECONDARY SCHOOL,RUKWA,KALAMBO,ULUMI,GOVERNMENT,31.72977243,-8.730375796,60,,1.4013,-3.9165,731,2014,NO,,,,
S0885,KANADI SECONDARY SCHOOL,SIMIYU,ITILIMA,CHINAMILI,GOVERNMENT,34.212243,-2.866135,65.22,,1.3937,-3.1201,746,2014,NO,,,,
S0887,INYONGA SECONDARY SCHOOL,KATAVI,MLELE,INYONGA,GOVERNMENT,32.05250809,-6.72676202,79.41,,1.4384,-3.5621,663,2014,NO,,,,
S0893,MAGILA SECONDARY SCHOOL,TANGA,MUHEZA,MAGILA,GOVERNMENT,38.7665499,-5.1520294,76.92,,1.2691,-4.2167,1042,2014,NO,,,,
S0894,MATYAZO SECONDARY SCHOOL,KIGOMA,KIGOMA RURAL,KALINZI,GOVERNMENT,29.76536604,-4.627728788,50,,1.2296,-4.132,1131,2014,NO,,,,
S0895,MWAYA SECONDARY SCHOOL,MOROGORO,ULANGA,RUAHA,GOVERNMENT,36.71886803,-8.898914127,46.88,,0.9532,-4.1586,1768,2014,NO,,,,
S0897,KILIMANJARO MAHADIL ISLAMIYYA SEM.,KILIMANJARO,MOSHI MUNICIPAL,,NON GOVERNMENT,37.3408698,-3.345619767,40,,1.0714,-4.2012,1495,2014,NO,,,,
S0907,ZINGIBARI SECONDARY SCHOOL,TANGA,MKINGA,MOA,GOVERNMENT,39.15801905,-4.774782728,87.5,,1.3503,-3.8255,847,2014,NO,,,,
S0908,LANZONI SECONDARY SCHOOL,TANGA,MKINGA,MHINDURO,GOVERNMENT,38.8095656,-5.0167799,58.33,,1.0711,-4.4292,1496,2014,NO,,,,
S0911,TAMOTA SECONDARY SCHOOL,TANGA,LUSHOTO,TAMOTA,GOVERNMENT,38.482763,-4.944689,86.67,,1.4466,-4.1426,651,2014,NO,,,,
S0914,MUYAMA SECONDARY SCHOOL,KIGOMA,KASULU,MUYAMA,GOVERNMENT,30.08826901,-4.338263344,33.33,,0.7709,-4.5578,1988,2014,NO,,,,
S0915,MWELI SECONDARY SCHOOL,SHINYANGA,KAHAMA TOWNSHIP AUTHORITY,USHETU,GOVERNMENT,32.23535007,-4.199429866,100,,1.4074,-3.5859,719,2014,NO,,,,
S0917,IHEMBE SECONDARY SCHOOL,KAGERA,KARAGWE,,,31.16186467,-1.726618475,74.07,,1.3247,-3.8149,914,2014,NO,,,,
S0929,FUNGUNI SECONDARY SCHOOL,TANGA,PANGANI,PANGANI MAGHARIBI,GOVERNMENT,38.961358,-5.416131,70.83,,1.1067,-4.4348,1414,2014,NO,,,,
S0930,NGATEU SECONDARY SCHOOL,ARUSHA,ARUSHA,KIRANYI,NON GOVERNMENT,36.671719,-3.352888,88,,1.6812,-2.3825,323,2014,NO,,,,
S0935,MWANDOYA SECONDARY SCHOOL,SIMIYU,MEATU,MWANDOYA,GOVERNMENT,34.2177797,-3.241198,75.68,,1.576,-3.1696,445,2014,NO,,,,
S0939,NKOKASHU SECONDARY SCHOOL,KILIMANJARO,HAI,MASAMA MASHARIKI,GOVERNMENT,37.1900338,-3.253144976,74.29,,1.3644,-3.7895,812,2014,NO,,,,
S0940,NDAGO SECONDARY SCHOOL,SINGIDA,IRAMBA,,GOVERNMENT,34.28625589,-4.433875021,71.43,,1.4977,-3.4981,565,2014,NO,,,,
S0941,MADIVENI SECONDARY SCHOOL,KILIMANJARO,SAME,MSINDO,GOVERNMENT,37.93368916,-4.173742759,68.97,,1.3765,-4.1139,778,2014,NO,,,,
