CODE,NAME,REGION,DISTRICT,WARD,OWNERSHIP,LONGITUDE,LATITUDE,PASS_RATE,CHANGE_PREVIOUS_YEAR_PASS_RATE,AVG_GPA,CHANGE_PREVIOUS_YEAR_GPA,RANK,YEAR_OF_RESULT,MORE_THAN_40,NATIONAL_RANK_ALL,REGIONAL_RANK_ALL,DISTRICT_RANK_ALL,PUPIL_TEACHER_RATIO
S4596,MKWAMBA SECONDARY SCHOOL,RUKWA,NKASI,MKWAMBA,GOVERNMENT,31.38048568,-7.576410875,72.73,,1.1958,-3.976,1200,2014,NO,,,,
S4597,IKUYU SECONDARY SCHOOL,DODOMA,MPWAPWA,IKUYU,GOVERNMENT,35.76362925,-6.544686712,66.67,,1.1946,-4.3735,1203,2014,NO,,,,
S4602,STEVEN KIBONA SECONDARY SCHOOL,MBEYA,ILEJE,KALEMBO,GOVERNMENT,33.447582,-9.465494,60.71,,1.337,-3.6309,880,2014,NO,,,,
S4603,KILANGALI SECONDARY SCHOOL,MOROGORO,KILOSA,KILANGALI,GOVERNMENT,37.089516,-7.021697,63.64,,1.0861,-4.4643,1466,2014,NO,,,,
S4608,BAMA SECONDARY SCHOOL,MANYARA,HANANG,MOGITU,NON GOVERNMENT,35.325605,-4.513886,88.46,,1.7663,-2.0938,254,2014,NO,,,,
S4610,KINANGA SECONDARY SCHOOL,SHINYANGA,,,,33.42118,-3.66393,93.55,,1.6505,1.6505,347,2014,NO,,,,
S4611,SIGNAL SECONDARY SCHOOL,MOROGORO,KILOMBERO,MANG'ULA,GOVERNMENT,36.82957653,-8.015492174,68.18,,1.0661,-3.9974,1506,2014,NO,,,,
S4612,KINZUDI SECONDARY SCHOOL,DAR ES SALAAM,KINONDONI,GOBA,GOVERNMENT,39.153522,-6.730901,54.55,,0.9884,-4.7973,1681,2014,NO,,,,
S4614,KIMAMMPE SECONDARY SCHOOL,MBEYA,RUNGWE,KIKOLE,GOVERNMENT,33.768392,-9.44486,66.67,,1.3703,-3.6708,798,2014,NO,,,,
S4616,UCHINDILE SECONDARY SCHOOL,MOROGORO,KILOMBERO,UCHINDILE,GOVERNMENT,35.3990747,-8.7669879,100,,1.8393,-4.0161,212,2014,NO,,,,
